Fecha,Total,Cruceristas,Excursionista,Turista,Viajero,Turista + Excursionista,País: Guatemala,País: El Salvador,País: Estados Unidos de América
2013-06-01,203522.43999999997,0.0,31623.04092383171,165541.95393179124,6357.445144377009,197164.99485562296,72691.99999999991,45116.19000000005,39424.0
2013-07-01,216160.6217850375,750.0,34555.969576698364,177040.04768796932,3814.6045203698286,211596.01726466767,72602.00000099998,45617.31999999998,40343.0
2013-08-01,201934.6200000001,2070.0,30333.81249642173,166817.12667323617,2713.68083034222,197150.9391696579,68391.00000000006,55250.420000000064,26357.0
2013-09-01,168085.2500028,628.0,26040.991380159998,137826.0704911866,3590.188131453396,163867.0618713466,66040.00000280008,43794.45999999993,15413.0
2013-10-01,172476.97999999995,1138.0,25806.47291408952,141817.99596888153,3714.5111170289015,167624.46888297104,68788.99999999999,39450.98999999996,20415.0
2013-11-01,218786.41999999993,12034.0,28711.006336841536,174254.01666777697,3787.3969953814108,202965.0230046185,84624.99999999999,48110.019999999924,23194.0
2013-12-01,279319.32999999996,11672.0,39580.09467977455,222869.30725958387,5197.9280606415405,262449.40193935845,114089.99999999996,61495.65999999999,35277.0
2014-01-01,234446.53999999992,12598.0,34125.876935530876,185334.46974085955,2388.1933236095024,219460.34667639044,83994.99999999996,53127.53999999997,26141.0
2014-02-01,182721.75,7181.0,27038.81617608429,146437.42968866258,2064.5041352531316,173476.24586474686,56150.00000000001,41977.749999999985,25767.0
2014-03-01,215178.73433878162,11590.0,30801.572319759296,169335.7579029099,3451.404116112413,200137.3302226692,67869.0,45590.77000000004,35051.0
2014-04-01,243823.90000000002,12079.0,30373.47617289639,198985.65697602122,2385.7668510824046,229359.1331489176,86743.99999999997,61024.90000000005,29172.0
2014-05-01,196933.52000000008,2964.0,26990.609665702057,163273.95508690586,3704.9552473921444,190264.56475260793,72803.00000000001,49255.520000000055,24833.0
2014-06-01,202425.34999985993,0.0,25717.57729282915,174375.89600845778,2331.876698572998,200093.47330128693,76799.99999985998,42000.349999999955,39778.0
2014-07-01,239373.68999999997,0.0,33953.0348383686,203605.5599675344,1815.0951940969478,237558.594805903,83156.99999999999,54642.689999999995,41389.0
2014-08-01,229607.76999999996,1859.0,43057.99601593885,182043.63595157734,2647.1380324837937,225101.63196751618,78633.99999999996,63231.770000000004,27940.0
2014-09-01,190814.11,0.0,35408.93667134078,152275.8439222185,3129.3294064406964,187684.7805935593,72589.99999999999,53943.109999999986,16441.0
2014-10-01,226630.01000000004,0.0,45488.501704153816,178162.36919097265,2979.139104873571,223650.87089512646,92354.00000000004,61061.01000000001,21910.0
2014-11-01,262353.2899999996,11946.0,50895.44343462438,197122.1665510858,2389.680014289405,248017.60998571018,100516.99999999999,67123.28999999959,24207.0
2014-12-01,338293.3,10384.0,65406.009407342,259966.72524226207,2536.565350395939,325372.73464960407,135911.00000000003,86824.29999999996,36567.0
2015-01-01,253275.000001625,6012.0,48756.07420132098,195364.8770078804,3142.048792423621,244120.95120920136,98082.99999892709,55883.00000268093,26763.0
2015-02-01,207976.49999823695,7599.0,41533.013258060884,155674.23428642977,3170.2524537462778,197207.24754449064,68880.99999916393,47280.99999900502,27369.5
2015-03-01,265027.28444746643,11576.0,41745.217414917315,207842.19062440173,3863.876408147369,249587.40803931904,86884.00000002403,63590.999997249164,37096.78445006321
